model_code,price,tank_type,motor_speed,drum_capacity,door_opening_direction,height,depth,width,motor_type,energy_label,safety_system,brand
SAM-WM-UN-Q1435S,19600000.0,Unknown,1400.0,8.0,left,85.0,60.0,59.7,Belt Drive,3.0,1.0,SAM
SNOWA-WM- SWM-81S‏20,18700000.0,Front Load,1000.0,8.0,left,82.5,60.0,59.5,Universal,3.0,1.0,SNOWA
SNOWA-WM- SWM-81W‏20,19000000.0,Front Load,1000.0,8.0,right,82.5,60.0,59.5,Universal,3.0,1.0,SNOWA
SNOWA-WM- SWM-84W‏40,19500000.0,Front Load,1400.0,8.0,left,85.0,63.0,59.0,Digital Inverter,3.0,1.0,SNOWA
SNOWA-WM-SWM-71S10,19700000.0,Front Load,1000.0,7.0,left,85.0,57.0,50.0,Belt Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM-71W10,20000000.0,Front Load,1000.0,7.0,left,85.0,57.0,63.0,Belt Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM-84S30,22580000.0,Front Load,1400.0,8.0,left,85.0,63.0,59.0,Belt Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM-84W30,22500000.0,Front Load,1400.0,8.0,left,85.0,63.0,59.0,Belt Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM-94S50,25990000.0,Front Load,1400.0,9.0,left,85.0,59.5,63.5,BLDC,3.0,1.0,SNOWA
SNOWA-WM-SWM-94S51,24780046.0,Front Load,1400.0,9.0,left,88.0,59.5,66.0,Direct Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM-94W51,23000000.0,Front Load,1400.0,9.0,left,85.0,63.5,59.5,Digital Inverter,3.0,1.0,SNOWA
SNOWA-WM-SWM-94W60,29000000.0,Front Load,1400.0,9.0,left,85.0,63.0,60.0,Q-BLDC Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM-A70S,20000000.0,Front Load,1000.0,7.0,left,84.0,57.0,59.0,Direct Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM-A70W,20000000.0,Stainless Steel,1000.0,7.0,left,84.0,57.0,59.0,Digital Inverter,3.0,1.0,SNOWA
SNOWA-WM-SWM-B80S,22900000.0,Stainless Steel,1400.0,8.0,left,82.5,60.0,59.5,Digital Inverter,3.0,1.0,SNOWA
SNOWA-WM-SWM-C80W,19300000.0,Front Load,1000.0,8.0,left,82.5,60.0,59.5,Universal,3.0,1.0,SNOWA
SNOWA-WM-SWM-D80W,23400000.0,Front Load,1400.0,8.0,left,85.0,63.5,59.5,Belt Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM-E92S,27000000.0,Unknown,1400.0,9.0,left,80.0,60.0,59.8,Unknown,3.0,1.0,SNOWA
SNOWA-WM-SWM-F92S,27900000.0,Front Load,1400.0,9.0,left,85.0,63.5,59.5,Q-BLDC Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM-F92W,27900000.0,Front Load,1400.0,9.0,left,85.0,63.5,59.5,Q-BLDC Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM1-84S40,19500000.0,Front Load,1400.0,8.0,left,85.0,57.0,63.0,BLDC,3.0,1.0,SNOWA
SNOWA-WM-SWM1-84W40,23161365.727272727,Front Load,1400.0,8.0,left,85.0,63.5,59.5,Unknown,3.0,1.0,SNOWA
SNOWA-WM-SWM1-94W60,29000000.0,Front Load,1400.0,9.0,left,85.0,63.0,60.0,Q-BLDC Drive,3.0,1.0,SNOWA
SNOWA-WM-SWM1-94s60,27900000.0,Front Load,1400.0,9.0,left,85.0,63.5,59.5,Belt Drive,3.0,1.0,SNOWA
